,Games,AtBase,Hits
0,1,4,0
1,25,118,32
2,29,137,40
3,27,133,44
4,25,120,39
5,12,49,11
6,1,4,1
7,31,157,63
8,1,5,1
9,18,86,13
10,22,89,27
11,1,3,0
12,10,36,7
13,3,15,6
14,20,94,33
15,29,128,32
16,1,4,0
17,1,4,1
18,17,73,17
19,1,2,0
20,25,106,28
21,29,152,46
22,30,134,30
23,3,14,1
24,12,63,15
25,19,87,20
26,29,127,32
27,19,77,20
28,7,33,7
29,27,118,38
30,28,150,37
31,6,22,4
32,9,34,7
33,26,121,28
34,33,147,47
35,1,3,0
36,33,158,38
37,25,123,28
38,28,147,41
39,1,6,2
40,21,105,33
41,29,142,48
42,18,84,22
43,19,89,31
44,32,162,45
45,16,63,17
46,26,120,37
47,19,88,18
48,31,151,43
49,32,136,40
50,5,25,5
51,25,113,28
52,25,118,30
53,33,168,43
54,17,75,23
55,21,94,34
56,28,130,36
57,16,76,17
58,16,67,15
59,18,67,15
60,29,131,25
61,20,101,21
62,29,144,57
63,3,12,2
64,12,48,11
65,31,148,43
66,25,122,30
67,27,134,46
68,19,89,24
69,26,135,37
70,25,132,31
71,2,8,2
72,29,148,39
73,29,136,38
74,29,153,66
75,26,130,64
76,32,146,36
77,32,157,43
78,9,36,8
79,1,1,0
80,29,142,42
81,32,151,31
82,33,163,44
83,1,3,0
84,28,130,49
85,24,95,25
86,29,130,34
87,1,6,2
88,3,13,3
89,5,17,4
90,28,145,44
91,26,133,47
92,8,39,11
93,31,149,42
94,14,65,15
95,25,127,41
96,27,129,28
97,14,72,19
98,31,144,39
99,33,161,58
100,2,9,0
101,25,110,30
102,29,128,45
103,5,19,4
104,25,124,42
105,32,158,50
106,29,146,47
107,15,70,18
108,1,4,0
109,32,138,51
110,28,135,51
111,16,80,33
112,31,147,44
113,29,145,37
114,28,128,32
115,17,70,19
116,22,92,15
117,19,87,23
118,5,19,3
119,23,114,35
120,18,83,28
121,46,217,90
122,2,7,1
123,37,171,54
124,45,230,99
125,8,34,7
126,1,4,0
127,2,7,1
128,9,36,11
129,10,43,9
130,51,247,74
131,23,115,30
132,23,114,25
133,4,14,4
134,10,46,8
135,16,76,16
136,24,116,37
137,15,62,19
138,36,170,44
139,9,43,16
140,6,25,5
141,37,155,41
142,4,15,2
143,37,174,47
144,2,7,1
145,18,93,20
146,42,196,57
147,7,38,12
148,19,97,27
149,2,7,1
150,25,98,24
151,8,37,11
152,35,178,50
153,55,249,52
154,47,260,88
155,37,164,37
156,6,24,9
157,9,41,11
158,56,290,97
159,37,164,46
160,18,86,19
161,46,225,52
162,47,244,85
163,13,53,12
164,2,8,2
165,3,15,4
166,9,40,9
167,25,130,53
168,19,95,41
169,36,165,50
170,1,4,0
171,9,47,20
172,18,71,13
173,9,39,6
174,1,4,2
175,9,41,10
176,45,212,54
177,53,250,84
178,13,57,18
179,22,115,45
180,13,62,19
181,56,288,93
182,5,23,3
183,56,267,82
184,1,4,0
185,50,245,84
186,11,49,11
187,13,62,15
188,22,110,33
189,3,11,3
190,9,44,14
191,11,46,15
192,2,7,0
193,4,12,2
194,2,8,1
195,5,23,6
196,5,19,0
197,3,11,0
198,25,128,39
199,11,54,11
200,46,241,84
201,4,12,1
202,7,31,5
203,47,205,59
204,41,213,60
205,5,16,6
206,4,18,5
207,25,119,36
208,18,78,15
209,50,222,50
210,25,126,28
211,47,258,74
212,19,82,25
213,7,32,9
214,4,14,2
215,1,4,0
216,11,48,14
217,47,225,81
218,54,236,60
219,46,237,76
220,27,146,48
221,1,4,1
222,6,31,4
223,55,266,79
224,11,53,5
225,1,4,0
226,23,114,41
227,4,20,7
228,18,76,19
229,1,4,0
230,23,99,27
231,21,92,19
232,12,47,10
233,44,206,39
234,56,285,85
235,16,65,18
236,56,297,86
237,24,118,23
238,2,8,2
239,37,165,39
240,7,30,6
241,45,204,56
242,48,226,65
243,9,42,10
244,1,5,2
245,18,90,23
246,25,103,30
247,9,37,6
248,48,237,84
249,1,4,0
250,54,277,75
251,11,45,11
252,5,21,2
253,22,107,30
254,14,52,12
255,12,57,16
256,18,78,23
257,24,110,29
258,47,236,65
259,9,45,17
260,22,109,37
261,10,45,12
262,16,69,16
263,25,113,38
264,7,31,6
265,1,5,1
266,48,255,86
267,48,208,53
268,1,4,0
269,51,250,66
270,25,114,29
271,9,34,3
272,10,51,16
273,31,152,54
274,23,100,32
275,19,80,24
276,11,48,10
277,52,254,101
278,2,8,0
279,23,101,25
280,55,269,74
281,60,320,138
282,1,4,1
283,1,5,3
284,37,169,46
285,53,258,63
286,8,32,7
287,38,173,49
288,3,11,1
289,18,74,21
290,16,70,14
291,48,228,63
292,16,69,18
293,54,240,47
294,55,245,62
295,20,86,13
296,21,84,12
297,56,291,98
298,45,204,62
299,9,39,9
300,1,4,1
301,41,197,57
302,42,192,48
303,51,279,77
304,54,219,52
305,23,99,24
306,30,137,35
307,1,6,1
308,53,266,90
309,1,3,0
310,12,48,8
311,51,228,59
312,51,253,66
313,44,218,75
314,22,89,23
315,49,233,85
316,5,18,4
317,49,236,66
318,53,225,60
319,13,57,12
320,39,186,49
321,1,4,0
322,7,27,4
323,35,168,58
324,30,145,41
325,52,255,78
326,28,120,29
327,49,244,77
328,39,181,60
329,53,232,75
330,30,136,35
331,3,14,3
332,1,4,0
333,1,4,3
334,2,8,3
335,1,5,1
336,6,25,3
337,12,51,12
338,5,19,4
339,58,300,96
340,1,5,2
341,48,205,60
342,53,259,75
343,31,154,41
344,31,140,31
345,52,223,43
346,49,253,71
347,1,4,0
348,52,275,83
349,52,227,62
350,38,192,73
351,48,238,83
352,54,262,87
353,41,176,39
354,36,168,55
355,13,55,11
356,57,280,98
357,55,228,82
358,55,262,72
359,1,6,0
360,56,285,90
361,1,4,0
362,45,244,70
363,16,73,16
364,1,5,1
365,50,207,61
366,2,11,4
367,2,8,2
368,3,12,2
369,60,296,79
370,1,3,1
371,20,86,24
372,3,11,0
373,4,15,2
374,6,23,4
375,5,19,2
376,28,107,21
377,60,323,106
378,53,252,67
379,32,133,24
380,4,16,2
381,51,243,81
382,2,9,1
383,1,4,1
384,51,243,62
385,1,3,1
386,15,80,28
387,60,311,122
388,39,158,43
389,1,4,0
390,1,5,0
391,42,209,67
392,12,40,10
393,59,323,125
394,58,263,68
395,57,278,84
396,51,241,50
397,50,213,51
398,65,318,90
399,55,260,87
400,32,155,46
401,51,259,88
402,45,190,35
403,51,226,52
404,19,97,19
405,32,151,42
406,43,187,45
407,1,4,1
408,55,245,54
409,44,185,47
410,26,117,41
411,27,118,37
412,47,196,47
413,2,9,0
414,61,273,75
415,64,287,82
416,1,3,0
417,53,242,64
418,33,135,23
419,39,165,48
420,2,11,2
421,3,12,1
422,1,4,0
423,55,265,91
424,54,231,52
425,58,295,79
426,47,203,50
427,53,218,49
428,45,203,58
429,6,22,5
430,58,299,95
431,3,13,5
432,27,122,26
433,56,245,64
434,52,241,54
435,37,180,59
436,22,97,22
437,59,294,92
438,57,258,72
439,1,4,0
440,54,222,61
441,2,8,2
442,14,61,19
443,8,38,8
444,55,237,67
445,33,143,32
446,47,222,64
447,2,9,1
448,52,247,80
449,63,292,66
450,58,266,73
451,65,333,87
452,59,271,80
453,21,81,12
454,57,285,97
455,2,7,1
456,14,56,17
457,24,86,12
458,2,4,0
459,1,4,1
460,71,339,106
461,56,246,51
462,47,223,56
463,42,174,61
464,1,5,1
465,7,29,4
466,65,298,72
467,55,263,57
468,54,271,87
469,16,65,11
470,1,4,0
471,55,260,90
472,70,343,123
473,53,254,100
474,4,16,8
475,53,244,69
476,21,82,17
477,65,297,73
478,1,3,0
479,70,331,104
480,17,77,17
481,1,5,2
482,56,255,75
483,55,239,69
484,6,24,3
485,52,234,83
486,1,4,1
487,23,103,25
488,14,55,7
489,1,4,0
490,64,284,65
491,1,4,0
492,47,181,35
493,18,66,14
494,71,327,87
495,12,54,16
496,5,16,3
497,9,35,8
498,1,5,1
499,2,7,0
500,6,21,4
501,1,1,1
502,39,151,33
503,71,362,119
504,63,306,96
505,33,132,21
506,55,243,71
507,8,33,8
508,10,44,5
509,13,48,12
510,45,197,60
511,35,148,28
512,9,35,8
513,70,352,106
514,45,211,57
515,1,5,0
516,60,313,103
517,40,184,58
518,50,224,56
519,57,244,47
520,11,45,10
521,1,4,1
522,69,310,80
523,26,112,24
524,40,175,42
525,61,269,67
526,69,326,106
527,1,4,0
528,19,72,11
529,1,5,1
530,1,4,0
531,78,393,143
532,10,36,4
533,9,34,5
534,67,284,71
535,35,155,41
536,14,61,17
537,35,164,46
538,51,201,48
539,16,68,10
540,1,4,0
541,72,289,77
542,1,2,0
543,68,281,56
544,7,28,3
545,36,151,44
546,60,254,62
547,1,4,1
548,21,91,13
549,1,4,0
550,2,9,1
551,3,10,0
552,74,350,103
553,1,5,3
554,10,36,3
555,86,382,101
556,41,166,29
557,6,22,3
558,43,195,44
559,17,59,6
560,60,292,77
561,22,81,10
562,4,12,2
563,21,81,17
564,14,65,18
565,54,260,83
566,19,75,15
567,9,37,3
568,53,221,44
569,68,319,78
570,27,110,20
571,2,8,1
572,67,254,57
573,69,318,92
574,1,1,0
575,3,13,3
576,1,4,2
577,22,81,15
578,1,5,1
579,66,295,89
580,7,27,6
581,1,4,2
582,85,366,88
583,3,11,1
584,5,16,5
585,41,177,41
586,58,268,74
587,4,16,1
588,26,111,25
589,17,61,5
